SHITOMASI & BRISK,SHITOMASI & BRIEF,SHITOMASI & ORB,SHITOMASI & FREAK,SHITOMASI & SIFT,HARRIS & BRISK,HARRIS & BRIEF,HARRIS & ORB,HARRIS & FREAK,HARRIS & SIFT,FAST & BRISK,FAST & BRIEF,FAST & ORB,FAST & FREAK,FAST & SIFT,BRISK & BRISK,BRISK & BRIEF,BRISK & ORB,BRISK & FREAK,BRISK & SIFT,ORB & BRISK,ORB & BRIEF,ORB & ORB,ORB & FREAK,AKAZE & AKAZE,SIFT & BRISK,SIFT & BRIEF,SIFT & FREAK,SIFT & SIFT,
0.000000,12.381160,10.139351,8.285789,11.506243,8.994509,60.975332,12.225762,13.794850,14.374119,13.611722,-114.589978,12.129630,12.937838,-342.967430,9.717974,15.011676,10.310348,17.458278,14.270997,9.444056,18.640157,13.252227,20.211496,44.577190,9.911552,15.161998,10.059470,16.403475,
-0.838967,20.718944,15.167077,-0.690379,28.263865,61.563167,12.797523,12.451406,29.089462,12.572269,-10.962039,13.345840,12.872646,-11.498582,12.530390,28.922501,19.525489,23.003449,25.575708,22.723018,18.065601,19.874374,172.248182,10.989953,15.440808,-0.687124,14.820187,-2.874417,-1.219330,
-46.673351,48.804711,12.637778,-1.929354,-inf,14.661796,11.251897,12.344484,12.733689,13.080276,-625.309996,19.440246,14.328750,-10.066641,12.979305,61.916293,26.391851,53.910065,-380.943629,-428.777420,15.197825,20.568462,22.579053,38.727359,21.071194,35.372534,19.352303,28.580902,-0.386594,
-1.330213,11.176182,13.831802,31.521716,-13.680049,-inf,22.241332,14.294756,-inf,11.220566,-0.686391,16.811255,15.606609,-212.677261,19.923475,18.704350,13.085971,22.895389,25.132102,26.408674,26.684168,90.008213,26.374753,37.329450,15.002023,40.980254,19.710616,111.052168,-2.033949,
-0.322125,22.166869,17.904267,-inf,-inf,33.563651,18.446703,40.837129,17.915039,62.324246,-14.371737,14.767797,15.985813,-11.572691,12.792192,31.126651,25.586121,88.205115,22.714893,33.394330,37.924277,24.291977,35.325963,10.726366,20.912511,-0.374093,28.824106,-0.714373,21.308696,
-2.395950,12.855171,12.856130,294.294436,15.593014,-6.113775,11.832303,13.091972,33.191101,92.793973,-36.442356,15.381048,30.145663,67.966242,17.091521,70.611909,31.190808,-147.809681,52.768159,86.771656,-inf,799.310230,39.391000,-inf,23.781551,-0.537707,17.166745,242.427085,-0.610967,
-10.663783,13.219772,19.173365,-inf,14.590125,-inf,12.760374,12.422539,-inf,12.901968,-0.536231,14.523429,15.833538,-9.030846,14.218452,70.706396,26.878685,73.652503,16.330385,28.207662,20.061138,21.110281,19.199179,54.085507,13.663116,24.077697,16.492612,-0.289576,15.870346,
-inf,34.795691,20.198711,-inf,31.128270,-1.148591,13.868600,59.577231,-inf,17.666794,-9.801026,14.848617,15.990270,-5.413843,12.896950,32.778547,19.835378,45.149268,25.306553,16.748894,39.344200,-inf,17.565700,23.206541,16.032904,-0.313545,16.927095,-0.265019,-0.750324,
-1.095132,14.238801,13.516882,-inf,27.366708,-20.369055,12.653649,13.222759,55.315071,15.578288,-1.057215,13.658973,16.662584,-12.427071,15.273025,28.359080,21.712604,34.899920,28.867802,18.268130,11.233694,70.542578,10.696285,8.936185,16.240372,29.863975,23.935456,-1.910082,-0.346776,
18.362450,12.670827,12.480323,-inf,13.456780,14.078531,12.266124,12.110239,13.172823,13.250558,-1.203594,13.984840,14.789709,-inf,14.441462,20.056048,17.102581,15.580879,20.629990,19.297578,12.228438,13.275729,2816752.548587,15.083865,15.200248,39.115989,14.682473,-3.883690,-3.477686,
