SHITOMASI & BRISK,SHITOMASI & BRIEF,SHITOMASI & ORB,SHITOMASI & FREAK,SHITOMASI & SIFT,HARRIS & BRISK,HARRIS & BRIEF,HARRIS & ORB,HARRIS & FREAK,HARRIS & SIFT,FAST & BRISK,FAST & BRIEF,FAST & ORB,FAST & FREAK,FAST & SIFT,BRISK & BRISK,BRISK & BRIEF,BRISK & ORB,BRISK & FREAK,BRISK & SIFT,ORB & BRISK,ORB & BRIEF,ORB & ORB,ORB & FREAK,AKAZE & AKAZE,SIFT & BRISK,SIFT & BRIEF,SIFT & FREAK,SIFT & SIFT,
0.000000,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,
12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,12.515600,
12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,12.614245,
14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,14.091013,
16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,16.689386,
15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,15.746544,
12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,12.783491,
11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,11.984351,
13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,13.124118,
13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,13.024118,
11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,11.174641,
12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,12.808601,
8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,8.959780,
9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,9.964390,
9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,9.598630,
8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,8.521566,
9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,9.515525,
9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,9.612415,
8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,8.398803,
